country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Canada,110629.391,108631.281,104162.164,102532.727,108044.445,110558.891,110465.453,112631.016,115489.023,114790.242,108781.125,107826.008,109417.391,110924.656,113906.836,115464.414,117390.445,116831.453,114154.602,116807.078,118875.336,115218.68,117915.383,117365.117,118078.047,117744.781,115953.484,119162.195,116483.242,110670.641,110559.898,113536.906,112691.195,114203.961,113402.445,113089.453,110354.422,110793.883,110273.828
China,4914.159,4776.941,4910.659,5147.26,5444.643,5800.923,5979.108,6336.534,6691.622,6907.912,6880.663,7122.351,7411.396,7908.675,8323.469,8498.712,8880.126,8871.482,8822.785,9069.434,9334.937,9797.812,10602.087,12273.32,14272.745,16114.158,17552.816,18955.008,19560.701,20281.068,21550.486,23088.703,23870.404,24596.934,25148.887,25315.799,25591.42,26315.52,27224.191
France,42953.191,42298.988,40510.715,41311.094,42504.711,43698.191,44570.465,45176.926,45559.191,45905.73,47114.281,49874.691,50099.133,49941.852,49172.934,50173.398,51854.156,50958.523,51909.617,52580.84,52966.594,53298.863,52433.273,52657.883,52754.129,52097.117,51332.477,50095.922,49932.984,46864.535,48006.332,45898.812,45710.949,46007.508,43901.973,44008.406,43146.969,42724.672,43422.832
Germany,54498.168,52870.703,51056.168,51807.598,53720.094,55260.105,54685,54951.07,54866.223,53983.555,52823.883,51259.914,49988.609,49538.953,48888.082,48996.98,50501.871,49771.383,49305.883,48598.672,48903.703,49841.391,49257.789,49300.902,49342.41,48793.566,50043.035,47958.129,48445.988,45436.277,47305.82,45571.508,46132.672,47361.547,45298.109,46037.191,46646.969,47084.938,45753.93
India,1748.779,1892.752,1832.289,1883.883,1967.398,2030.476,2125.123,2210.148,2353.642,2515.706,2643.11,2730.958,2812.742,2824.25,2916.78,3072.884,3134.029,3244.434,3377.11,3411.33,3518.682,3469.836,3519.717,3583.34,3826.206,3987.057,4136.667,4423.929,4616.339,4906.046,5053.515,5288.326,5530.136,5649.573,5966.566,6070.304,6259.266,6425.252,6764.301
Iran,10541.232,10068.537,10822.305,12403.508,12934.149,13623.729,12333.542,12796.609,12656.99,13439.815,14540.782,15178.74,16395.33,15073.914,16816.41,17401.883,18683.664,18984.059,19468.625,20652.555,21307.211,22379.375,24156.205,24372.035,26526.402,27646.455,29747.424,31167.166,31679.156,32100.881,32148.867,33171.102,33106.199,33847.125,34720.953,33744.59,34676.219,35613.996,36300.188
Italy,30601.965,29852.102,29231.549,28606.455,29045.281,28918.834,29706.113,30585.658,31324.178,32171.826,32681.438,33685.176,33524.938,32795.352,32712.924,34040.484,34021.672,34593.879,35381.559,36375.105,36851.285,36802.125,36481.184,37436.273,37979.512,37805.059,37481.965,36549.082,35659.477,33102.941,34046.293,33284.145,32295.605,30816.119,29214.83,30065.109,30224.332,30635.631,30957.242
Japan,36254.539,35516.242,33955.078,34213.547,36907.602,36996.742,36868.168,37437.762,39642.125,40848.023,42192.621,43008.559,43327.996,43862.707,45380.566,47580.195,48386.641,49199.973,48110.82,48803.297,49229.383,48662.785,48643.801,48392.926,48887.336,49007.164,48855.34,48292.941,47418.414,43254.305,46114.938,43712.98,43428.844,43171.461,42146.168,41622.668,41172.285,41783.035,41694.16
Russia,,,,,,66867.602,67509.156,69110.766,69764.82,69605.836,68079.164,66946.992,64323.965,59901.234,54683.012,51845.484,50010.332,47390.879,47388.215,48097.676,49127.297,50112.773,50130.188,51387.621,52053.332,52182.891,54674.266,55047.945,55313.559,52542.598,54554.848,56364.215,56386.773,55547.664,55554.078,54470.105,55501.18,55704.781,57677.75
Saudi Arabia,41282.758,46940.113,49267.504,50909.332,58105.363,56611.301,58194.637,59031.215,59147.16,55789.254,58003.781,58390.523,56810.156,56193.199,63132.098,59823.926,60202.789,59696.375,61183.168,60706.84,61950.852,64399.926,65480.074,67781.141,71949.188,72097.352,72123.859,72369.453,76374.43,77067.539,82508.102,84609.898,87771.18,86307.906,91069.234,92157.297,92738.789,89988.602,86800.539
South Korea,11894.838,12272.545,12068.729,12908.779,13887.152,15137.731,16754.164,18311.111,20161.307,21626.703,24162.186,27100.135,30416.184,33184.633,35601.617,38704.719,42497.312,46366.664,42134.332,45648.047,48001.297,48871.348,50846.504,52236.246,53247.426,54864.957,55579.969,57040.523,57774.648,57865.922,62382.902,64964.191,65141.93,64778.305,64792.359,65354.676,66837.719,67318.461,68137.32
United Kingdom,42273.758,41052.523,40481.203,40607.848,40542.465,42206.891,43317.574,43165.488,43644.805,43603.059,43845.027,44652.043,44259.449,44663.285,44021.516,44062.301,46080.582,45150.043,45486.602,45106.746,45276.035,45515.711,44345.59,44826.98,44807.617,45021.445,44165.184,42526.105,41425.242,39076.035,39665.391,37228.535,37385.125,36969.359,34653.727,34908.098,34312.461,34012.988,33682.484
United States,92999.719,89243.242,84728.156,83556.289,86935.656,85837.008,85772.086,87787.258,90862.547,92050.445,91124.938,89745.164,89778.836,90385.828,90822.672,91624.125,93542.242,93064.172,92491.875,93004.367,93999.859,90772.188,91201.062,90619.102,91504.484,90654.531,89067.039,89395.141,86378.656,81376.18,83397.477,81962.352,79102.352,80556.516,80725.086,79317.367,78613.539,78289.016,80575.875
