country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Canada,4.276,4.123,4.125,3.986,4.01,3.93,3.867,3.835,3.803,3.75,3.599,3.681,3.736,3.721,3.686,3.668,3.697,3.553,3.362,3.289,3.203,3.074,3.077,3.028,2.974,2.893,2.795,2.835,2.766,2.731,2.668,2.677,2.642,2.643,2.587,2.582,2.513,2.475,2.446
China,2.549,2.443,2.338,2.325,2.244,2.234,2.198,2.187,2.226,2.318,2.345,2.376,2.337,2.292,2.264,2.152,2.127,2.075,2.061,2.041,1.982,1.97,1.993,2.182,2.364,2.444,2.429,2.418,2.409,2.347,2.259,2.292,2.272,2.212,2.148,2.111,2.079,2.112,2.125
France,1.779,1.744,1.638,1.659,1.69,1.722,1.724,1.713,1.662,1.617,1.624,1.706,1.693,1.703,1.643,1.647,1.684,1.622,1.601,1.573,1.529,1.514,1.477,1.476,1.444,1.408,1.362,1.305,1.305,1.268,1.28,1.205,1.204,1.206,1.151,1.145,1.114,1.081,1.081
Germany,2.407,2.323,2.26,2.252,2.271,2.288,2.22,2.206,2.142,2.052,2.08,1.911,1.817,1.806,1.727,1.687,1.709,1.638,1.575,1.506,1.455,1.441,1.407,1.401,1.369,1.328,1.298,1.191,1.178,1.158,1.146,1.054,1.064,1.089,1.027,1.029,1.028,1.016,0.976
India,1.2,1.252,1.202,1.169,1.202,1.22,1.253,1.276,1.258,1.288,1.314,1.377,1.386,1.354,1.352,1.365,1.326,1.353,1.357,1.324,1.344,1.288,1.293,1.246,1.259,1.241,1.205,1.208,1.211,1.214,1.18,1.172,1.185,1.154,1.155,1.106,1.079,1.051,1.048
Iran,1.626,1.683,1.641,1.721,1.829,1.949,2.015,2.194,2.371,2.496,2.547,2.379,2.341,2.169,2.405,2.414,2.372,2.303,2.271,2.345,2.325,2.322,2.297,2.102,2.13,2.11,2.107,2.032,2.035,1.963,1.841,1.872,2.013,2.126,2.161,2.152,2.152,2.098,2.222
Italy,1.457,1.42,1.385,1.34,1.326,1.285,1.283,1.282,1.265,1.263,1.257,1.268,1.244,1.219,1.183,1.188,1.164,1.155,1.155,1.161,1.126,1.098,1.08,1.105,1.105,1.088,1.054,1.012,0.998,0.979,0.988,0.957,0.958,0.932,0.883,0.9,0.896,0.892,0.892
Japan,1.706,1.63,1.521,1.507,1.573,1.519,1.478,1.447,1.449,1.43,1.411,1.395,1.398,1.418,1.456,1.491,1.475,1.488,1.476,1.505,1.481,1.462,1.463,1.437,1.423,1.405,1.383,1.347,1.339,1.292,1.323,1.255,1.227,1.195,1.16,1.13,1.105,1.093,1.082
Russia,,,,,,5.321,5.284,5.462,5.47,5.452,5.491,5.591,6.152,6.153,6.282,6.062,5.908,5.394,5.556,5.176,4.683,4.44,4.115,3.826,3.519,3.233,3.054,2.762,2.578,2.596,2.521,2.448,2.367,2.302,2.252,2.275,2.326,2.299,2.325
Saudi Arabia,1.993,2.205,2.388,2.899,3.472,3.796,4.346,4.404,4.465,4.241,4.032,3.482,3.207,3.153,3.445,3.188,3.06,2.94,2.868,2.894,2.732,2.803,2.855,2.581,2.46,2.283,2.19,2.126,2.077,2.1,2.093,1.882,1.881,1.828,1.887,1.861,1.878,1.879,1.812
South Korea,1.964,1.918,1.773,1.702,1.683,1.727,1.742,1.717,1.713,1.74,1.792,1.849,1.978,2.044,2.033,2.041,2.11,2.202,2.145,2.115,2.068,2.04,2,2.019,1.984,1.987,1.933,1.901,1.893,1.903,1.948,1.985,1.964,1.916,1.871,1.852,1.855,1.818,1.798
United Kingdom,2.051,2.021,1.964,1.905,1.857,1.87,1.841,1.754,1.693,1.659,1.666,1.722,1.707,1.686,1.605,1.572,1.609,1.535,1.505,1.451,1.41,1.387,1.327,1.304,1.28,1.258,1.213,1.149,1.136,1.13,1.136,1.06,1.06,1.036,0.95,0.942,0.916,0.896,0.881
United States,3.077,2.914,2.848,2.724,2.669,2.563,2.501,2.497,2.505,2.48,2.444,2.442,2.393,2.378,2.328,2.316,2.306,2.224,2.143,2.083,2.046,1.978,1.972,1.924,1.89,1.83,1.769,1.761,1.724,1.686,1.699,1.659,1.58,1.597,1.577,1.523,1.499,1.467,1.475
