country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Canada,6.34114E+11,6.53774E+11,6.33853E+11,6.52318E+11,6.89734E+11,7.27013E+11,7.46075E+11,7.76472E+11,8.1424E+11,8.33919E+11,8.35997E+11,8.20551E+11,8.30133E+11,8.54596E+11,8.9551E+11,9.22093E+11,9.39604E+11,9.82581E+11,1.0236E+12,1.0795E+12,1.13868E+12,1.16207E+12,1.20047E+12,1.22561E+12,1.26705E+12,1.31126E+12,1.34943E+12,1.3812E+12,1.3989E+12,1.36151E+12,1.40742E+12,1.45558E+12,1.4798E+12,1.5149E+12,1.5522E+12,1.56517E+12,1.58615E+12,1.63644E+12,1.6694E+12
China,1.89378E+12,1.94996E+12,2.1286E+12,2.27886E+12,2.534E+12,2.75267E+12,2.93154E+12,3.17731E+12,3.35446E+12,3.38056E+12,3.38512E+12,3.50895E+12,3.75504E+12,4.12617E+12,4.43875E+12,4.81E+12,5.12759E+12,5.29134E+12,5.3387E+12,5.5785E+12,5.95268E+12,6.32974E+12,6.81449E+12,7.24862E+12,7.83095E+12,8.60294E+12,9.48954E+12,1.03582E+13,1.07991E+13,1.15725E+13,1.28588E+13,1.36732E+13,1.43581E+13,1.53044E+13,1.62209E+13,1.67109E+13,1.72555E+13,1.75751E+13,1.81516E+13
France,1.29712E+12,1.31046E+12,1.34341E+12,1.35907E+12,1.3791E+12,1.39841E+12,1.43163E+12,1.46781E+12,1.53232E+12,1.59447E+12,1.63621E+12,1.65561E+12,1.68286E+12,1.67326E+12,1.71324E+12,1.74967E+12,1.77469E+12,1.81707E+12,1.88261E+12,1.95026E+12,2.03195E+12,2.07791E+12,2.10729E+12,2.13078E+12,2.19657E+12,2.23836E+12,2.29644E+12,2.35392E+12,2.36154E+12,2.29431E+12,2.34129E+12,2.39185E+12,2.3954E+12,2.4157E+12,2.42445E+12,2.45307E+12,2.47939E+12,2.5362E+12,2.58167E+12
Germany,1.76147E+12,1.7682E+12,1.75314E+12,1.7843E+12,1.83459E+12,1.87477E+12,1.91618E+12,1.94506E+12,2.00999E+12,2.07568E+12,2.01555E+12,2.14055E+12,2.20645E+12,2.2101E+12,2.29016E+12,2.3564E+12,2.40261E+12,2.47474E+12,2.5524E+12,2.63265E+12,2.74136E+12,2.81946E+12,2.85146E+12,2.86339E+12,2.92975E+12,2.98387E+12,3.12939E+12,3.2681E+12,3.34093E+12,3.18904E+12,3.35679E+12,3.51913E+12,3.53644E+12,3.55372E+12,3.6104E+12,3.67255E+12,3.73542E+12,3.8275E+12,3.88596E+12
India,1.0151E+12,1.07744E+12,1.11156E+12,1.20235E+12,1.24891E+12,1.2986E+12,1.35311E+12,1.41288E+12,1.56009E+12,1.66373E+12,1.75099E+12,1.76241E+12,1.84236E+12,1.93187E+12,2.03952E+12,2.17104E+12,2.32373E+12,2.40311E+12,2.54149E+12,2.68132E+12,2.77321E+12,2.90688E+12,2.98958E+12,3.21295E+12,3.45421E+12,3.70937E+12,4.02406E+12,4.35555E+12,4.60184E+12,4.94573E+12,5.31452E+12,5.67567E+12,5.94939E+12,6.32032E+12,6.75474E+12,7.2596E+12,7.76745E+12,8.27565E+12,8.83576E+12
Iran,2.49697E+11,2.42199E+11,2.80255E+11,3.17243E+11,3.22589E+11,3.30378E+11,2.99362E+11,2.94831E+11,2.78183E+11,2.88904E+11,3.18478E+11,3.69999E+11,4.15817E+11,4.15192E+11,4.19387E+11,4.38197E+11,4.85152E+11,5.1502E+11,5.44003E+11,5.67746E+11,6.00692E+11,6.42713E+11,7.08075E+11,7.87814E+11,8.59884E+11,9.19503E+11,1.00624E+12,1.10929E+12,1.14127E+12,1.21522E+12,1.31641E+12,1.35244E+12,1.2717E+12,1.24935E+12,1.2845E+12,1.28258E+12,1.34249E+12,1.43452E+12,1.399E+12
Italy,1.18316E+12,1.18887E+12,1.1942E+12,1.20877E+12,1.23985E+12,1.27469E+12,1.31089E+12,1.35153E+12,1.40377E+12,1.4442E+12,1.47549E+12,1.50872E+12,1.53192E+12,1.52955E+12,1.57341E+12,1.6302E+12,1.66279E+12,1.70519E+12,1.7449E+12,1.78453E+12,1.86375E+12,1.91008E+12,1.92826E+12,1.94475E+12,1.98936E+12,2.02236E+12,2.07741E+12,2.12282E+12,2.11529E+12,2.01334E+12,2.06169E+12,2.08812E+12,2.02924E+12,1.99421E+12,1.99648E+12,2.01211E+12,2.02696E+12,2.06076E+12,2.07721E+12
Japan,2.50014E+12,2.57932E+12,2.65813E+12,2.71995E+12,2.82658E+12,2.95087E+12,3.03633E+12,3.16265E+12,3.35874E+12,3.521E+12,3.69982E+12,3.8247E+12,3.85572E+12,3.86108E+12,3.89868E+12,4.00303E+12,4.12465E+12,4.16654E+12,4.11701E+12,4.10403E+12,4.21555E+12,4.23008E+12,4.2325E+12,4.2945E+12,4.38654E+12,4.45673E+12,4.5173E+12,4.58924E+12,4.53623E+12,4.28789E+12,4.46496E+12,4.45699E+12,4.52368E+12,4.61415E+12,4.62962E+12,4.68543E+12,4.73222E+12,4.84402E+12,4.86701E+12
Russia,,,,,,1.79563E+12,1.84021E+12,1.83864E+12,1.86813E+12,1.88109E+12,1.83487E+12,1.77749E+12,1.55501E+12,1.44949E+12,1.29558E+12,1.27054E+12,1.25472E+12,1.29974E+12,1.25945E+12,1.36903E+12,1.54048E+12,1.65035E+12,1.7737E+12,1.94681E+12,2.13517E+12,2.32088E+12,2.56592E+12,2.85228E+12,3.07032E+12,2.89751E+12,3.09942E+12,3.3003E+12,3.42175E+12,3.47331E+12,3.55995E+12,3.46308E+12,3.46197E+12,3.52408E+12,3.61341E+12
Saudi Arabia,2.10662E+11,2.27352E+11,2.31115E+11,2.06257E+11,2.06035E+11,1.92246E+11,1.80536E+11,1.88872E+11,1.94908E+11,2.01951E+11,2.30231E+11,2.79283E+11,3.06153E+11,3.18108E+11,3.36601E+11,3.54481E+11,3.81902E+11,4.04885E+11,4.36679E+11,4.40715E+11,4.88694E+11,5.07467E+11,5.18914E+11,6.08023E+11,6.91928E+11,7.70496E+11,8.35772E+11,8.98734E+11,1.00897E+12,1.04521E+12,1.15944E+12,1.35553E+12,1.43837E+12,1.48674E+12,1.55055E+12,1.62173E+12,1.64972E+12,1.63748E+12,1.67734E+12
South Korea,2.31185E+11,2.47783E+11,2.68261E+11,3.03784E+11,3.35512E+11,3.61515E+11,4.02092E+11,4.52222E+11,5.06051E+11,5.41628E+11,5.94764E+11,6.51872E+11,6.87369E+11,7.29369E+11,7.91074E+11,8.60794E+11,9.19813E+11,9.67605E+11,9.08368E+11,1.00416E+12,1.08626E+12,1.12762E+12,1.20307E+12,1.22983E+12,1.28124E+12,1.32235E+12,1.38128E+12,1.44672E+12,1.47743E+12,1.47764E+12,1.56282E+12,1.60922E+12,1.64611E+12,1.69381E+12,1.75042E+12,1.79925E+12,1.84912E+12,1.90756E+12,1.95839E+12
United Kingdom,1.16074E+12,1.14564E+12,1.16341E+12,1.20467E+12,1.23477E+12,1.27843E+12,1.3346E+12,1.3981E+12,1.4678E+12,1.49984E+12,1.50569E+12,1.48746E+12,1.49138E+12,1.52738E+12,1.58521E+12,1.62342E+12,1.66325E+12,1.71366E+12,1.76669E+12,1.82299E+12,1.88946E+12,1.93916E+12,1.98381E+12,2.05065E+12,2.1005E+12,2.16095E+12,2.21297E+12,2.26738E+12,2.25104E+12,2.15165E+12,2.19078E+12,2.22172E+12,2.25091E+12,2.29392E+12,2.36395E+12,2.41578E+12,2.46006E+12,2.5066E+12,2.54021E+12
United States,6.74321E+12,6.91187E+12,6.78221E+12,7.06624E+12,7.58111E+12,7.87487E+12,8.14603E+12,8.43257E+12,8.7872E+12,9.09129E+12,9.25038E+12,9.2435E+12,9.57215E+12,9.83494E+12,1.0232E+13,1.05103E+13,1.09092E+13,1.13988E+13,1.1906E+13,1.24638E+13,1.29738E+13,1.31005E+13,1.33345E+13,1.37088E+13,1.42279E+13,1.47037E+13,1.50959E+13,1.53645E+13,1.53197E+13,1.48943E+13,1.52706E+13,1.55093E+13,1.58496E+13,1.61084E+13,1.64827E+13,1.69026E+13,1.71626E+13,1.75963E+13,1.81406E+13
