country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Canada,24511512,24815780,25101514,25360732,25602080,25843920,26116076,26436886,26815068,27244408,27657206,28015762,28347644,28668168,28981190,29289430,29593856,29882752,30144816,30399776,30683316,31002768,31322400,31619456,31911670,32215914,32531864,32862458,33218542,33593920,33963416,34323536,34691876,35063696,35404616,35732120,36113532,36554344,37035260
China,982372480,997259520,1013483200,1029226880,1044172224,1060240000,1077770496,1096851840,1115889792,1134414720,1153704192,1170626176,1183813376,1195855616,1207286656,1218144384,1228298880,1237801472,1246836096,1255433216,1264099072,1272739584,1280926080,1288873344,1296816768,1304887552,1313086592,1321513216,1330167168,1339125632,1348191360,1357095424,1366560768,1376100352,1385189632,1393715456,1401889664,1410275968,1417069440
France,53713836,54016748,54319652,54592384,54845984,55108104,55371640,55641536,55911476,56169944,56412896,56645216,56864048,57053728,57230064,57420356,57623180,57839364,58080344,58352208,58665456,59014776,59372784,59728260,60108436,60510080,60919152,61329380,61721004,62093300,62444568,62775272,63071412,63335180,63588496,63809768,63989320,64144092,64277812
Germany,77786696,77684488,77610424,77566064,77568576,77638808,77803352,78090896,78477528,78916440,79370192,79801984,80205024,80573496,80882120,81123264,81300864,81436096,81524384,81556968,81551680,81514568,81443424,81346808,81266672,81212168,81177816,81183832,81217488,81260624,81325088,81423384,81545568,81680592,81858824,82073232,82331432,82624368,82896696
India,696828352,712869312,729169472,745826560,762895168,780242112,797878976,815716160,833729664,852012672,870452160,888941760,907574080,926351296,945261952,964279104,983281216,1002335232,1021434560,1040500032,1059633664,1078970880,1098313088,1117415168,1136264576,1154638720,1172373760,1189691776,1206734848,1223640192,1240613632,1257621248,1274487168,1291132032,1307246464,1322866560,1338636288,1354195712,1369003264
Iran,38520668,40476260,42500036,44027988,45628400,47266160,48913236,50541504,52111868,53644740,55793628,57990892,59372016,59755432,59985752,60794808,61598380,62480528,63461424,64474748,65544380,66674856,67327120,67954704,69061680,70182592,71275768,72319424,73318400,74322688,75373864,76342968,77324448,78458928,79961672,81790848,83306232,84505080,85617560
Italy,56329480,56532908,56585840,56607516,56620236,56636468,56639056,56644528,56670880,56711524,56756560,56794488,56833184,56869456,56883820,56885124,56898972,56925808,56938736,56945064,56966400,56994992,57107576,57425176,57860664,58199876,58429904,58778480,59224228,59562844,59822452,60025952,60190152,60312600,60322792,60232908,60118628,60004024,59877432
Japan,117624200,118385728,119098144,119793752,120470736,121119024,121710304,122268888,122798304,123270648,123686320,124073992,124444696,124779576,125119264,125433968,125726224,126027984,126308392,126555064,126803864,127065736,127301744,127502352,127671288,127798376,127902168,128006424,128077632,128117040,128105432,128007256,127853688,127678920,127476728,127250936,126993856,126662464,126255872
Russia,,,,,,142896384,144046480,145312016,146464384,147341504,148005696,148455408,148725600,148897280,148829120,148557456,148233408,147939968,147672720,147336384,146844848,146235520,145590144,144946720,144353648,143800048,143338672,143117680,143086544,143163648,143242592,143364544,143629360,143956864,144285072,144668384,145109152,145452544,145652288
Saudi Arabia,10171712,10678218,11201155,11746019,12310362,12890250,13483356,14089800,14713717,15353231,16004768,16654283,17281352,17846472,18367526,18888862,19410278,19938380,20472576,21009664,21547398,22085932,22623412,23150850,23661804,24397652,25382870,26400066,27437352,28483800,29411930,30150952,30821554,31482502,32125570,32749838,33416272,34193120,35018132
South Korea,38170500,38731908,39403428,40053744,40664360,41232700,41808708,42405260,42988456,43567516,44120040,44487412,44703708,44932856,45165784,45393416,45660164,45962392,46250260,46520448,46788588,47064784,47320664,47539740,47727288,47889576,48049348,48220600,48398632,48588024,48813036,49169880,49634188,50098228,50558044,50994396,51309984,51511640,51676900
United Kingdom,56326328,56395848,56450132,56501616,56568252,56643040,56721912,56826320,56952648,57076096,57210444,57359452,57509240,57647464,57785900,57930364,58078584,58250192,58438320,58635204,58850044,59092016,59355688,59649800,59995852,60383740,60803700,61260680,61742152,62243384,62760048,63286360,63808728,64302296,64773504,65224368,65655204,66064808,66432996
United States,223140016,225654000,228001424,230389968,232766288,235146176,237512784,239853168,242287808,244954096,248083728,251560192,255175328,258779760,262273584,265660560,268984352,272395424,275835008,279181568,282398560,285470496,288350240,291109824,293947872,296842656,299753088,302743392,305694912,308512032,311182848,313876608,316651328,319375168,322033952,324607776,327210208,329791232,332140032
