country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Canada,2711.694,2695.77,2614.628,2600.305,2766.163,2857.275,2884.924,2977.613,3096.846,3127.392,3008.582,3020.828,3101.725,3180.007,3301.156,3381.887,3474.036,3491.245,3441.169,3550.909,3647.49,3572.098,3693.393,3711.021,3768.068,3793.256,3772.183,3915.963,3869.404,3717.861,3754.992,3896.988,3909.469,4004.413,4014.97,4040.926,3985.288,4049.998,4084.02
China,4827.534,4763.85,4976.87,5297.698,5685.145,6150.371,6444.106,6950.239,7467.112,7836.437,7938.25,8337.61,8773.709,9457.634,10048.812,10352.658,10907.449,10981.134,11000.566,11386.068,11800.284,12470.063,13580.49,15818.756,18509.135,21027.164,23048.367,25049.293,26019.002,27158.898,29054.18,31333.574,32620.357,33847.848,34835.977,35283.02,35876.348,37112.145,38578.57
France,2307.181,2284.854,2200.528,2255.271,2331.213,2408.125,2467.94,2513.714,2547.282,2578.522,2657.853,2825.163,2848.84,2849.369,2814.17,2880.974,2988.001,2947.409,3014.928,3068.208,3107.309,3145.42,3113.109,3145.164,3170.968,3152.401,3127.131,3072.352,3081.914,2909.974,2997.735,2881.311,2883.054,2913.894,2791.66,2808.166,2760.945,2740.535,2791.125
Germany,4239.232,4107.233,3962.491,4018.511,4166.991,4290.329,4254.676,4291.178,4305.766,4260.19,4192.642,4090.643,4009.338,3991.527,3954.172,3974.795,4105.846,4053.187,4019.632,3963.56,3988.179,4062.799,4011.723,4010.471,4009.893,3962.631,4062.384,3893.425,3934.661,3692.18,3847.15,3710.586,3761.915,3868.519,3708.05,3778.421,3840.512,3890.363,3792.85
India,1218.599,1349.285,1336.049,1405.05,1500.919,1584.263,1695.591,1802.854,1962.302,2143.414,2300.701,2427.663,2552.772,2616.248,2757.121,2963.118,3081.631,3252.01,3449.497,3549.489,3728.514,3743.853,3865.751,4004.078,4347.582,4603.61,4849.72,5263.111,5570.697,6003.236,6269.459,6650.71,7048.088,7294.344,7799.773,8030.202,8378.88,8701.049,9260.351
Iran,406.055,407.537,459.948,546.102,590.165,643.941,603.273,646.76,659.579,720.975,811.283,880.229,973.424,900.748,1008.745,1057.944,1150.883,1186.134,1235.507,1331.568,1396.568,1492.142,1626.368,1656.194,1831.958,1940.3,2120.271,2253.991,2322.665,2385.824,2423.184,2532.38,2559.918,2655.609,2776.345,2759.999,2888.745,3009.564,3107.934
Italy,1723.793,1687.626,1654.092,1619.34,1644.551,1637.861,1682.526,1732.51,1775.169,1824.513,1854.886,1913.132,1905.329,1865.054,1860.836,1936.397,1935.798,1969.284,2014.581,2071.383,2099.285,2097.537,2083.352,2149.785,2197.52,2200.25,2190.068,2148.3,2111.905,1971.705,2036.733,1997.912,1943.877,1858.6,1762.32,1810.909,1817.045,1838.261,1853.64
Japan,4264.411,4204.616,4043.987,4098.569,4446.286,4481.009,4487.236,4577.474,4867.986,5035.362,5218.65,5336.244,5391.939,5473.17,5677.983,5968.173,6083.47,6200.573,6076.8,6176.304,6242.476,6183.373,6192.44,6170.212,6241.509,6263.036,6248.704,6181.807,6073.238,5541.613,5907.574,5595.579,5552.538,5512.085,5372.656,5296.523,5228.627,5292.342,5264.132
Russia,,,,,,9555.139,9724.456,10042.625,10218.062,10255.829,10076.104,9938.644,9566.62,8919.131,8138.424,7702.033,7413.202,7011.005,6997.947,7086.538,7214.09,7328.268,7298.461,7448.467,7514.088,7503.902,7836.937,7878.334,7914.626,7522.19,7814.578,8080.63,8098.796,7996.468,8015.624,7880.102,8053.729,8102.402,8400.896
Saudi Arabia,419.916,501.237,551.853,597.982,715.298,729.734,784.659,831.738,870.275,856.545,928.337,972.452,981.756,1002.85,1159.58,1130.006,1168.553,1190.249,1252.577,1275.43,1334.88,1422.332,1481.383,1569.191,1702.448,1759.006,1830.711,1910.558,2095.512,2195.176,2426.722,2551.069,2705.244,2717.189,2925.651,3018.136,3098.985,3076.991,3039.593
South Korea,454.032,475.339,475.549,517.045,564.712,624.17,700.47,776.487,866.703,942.222,1066.037,1205.615,1359.716,1491.08,1607.975,1756.939,1940.434,2131.123,1948.724,2123.568,2245.913,2300.119,2406.09,2483.298,2541.355,2627.459,2670.581,2750.528,2796.214,2811.591,3045.099,3194.281,3233.267,3245.278,3275.775,3332.722,3429.442,3467.684,3521.125
United Kingdom,2381.125,2315.192,2285.169,2294.409,2293.416,2390.727,2457.056,2452.936,2485.687,2488.692,2508.394,2561.217,2545.327,2574.725,2543.823,2552.545,2676.295,2629.999,2658.161,2644.843,2664.497,2689.615,2632.163,2673.92,2688.271,2718.563,2685.406,2605.178,2557.684,2432.225,2489.402,2356.059,2385.497,2377.215,2244.643,2276.859,2252.792,2247.062,2237.628
United States,20751.959,20138.094,19318.141,19250.531,20235.689,20184.244,20371.967,21056.053,22014.887,22548.133,22606.613,22576.311,22909.344,23390.023,23820.389,24340.916,25161.398,25350.254,25512.498,25965.105,26545.426,25912.781,26297.848,26380.111,26897.549,26910.133,26698.119,27063.787,26405.516,25105.531,25951.865,25726.064,25047.865,25727.75,25996.219,25747.033,25723.152,25819.031,26762.473
